reservoir_name,district,lsl_m,frl_m,live_capacity_frl_mcm,total_no_of_gates
Aoda,Morena,335.28,348.23,45.05,
Bansagar,Shahdol,323.1,341.64,5429.06,18
Bansujara Major Project,Tikamgarh,302.5,316.5,276.04,12
Bargi,Jabalpur,403.35,422.76,3180.0,21
Barna,Raisen,338.1,348.55,455.8,8
Bawanthadi (Rajiv Sagar),Balaghat,333.5,344.4,254.68,6
Bilgaon Medium Project,Dindori,690.5,701.0,53.697,9
Dahod,Raisen,453.54,459.94,26.42,10
Dejala Dewda,Khargone,369.56,383.2,50.29,
Dholawad Tank,Ratlam,380.0,395.0,49.94,6
Gandhisagar,Mandsaure,381.0,399.9,6607.42,19
Gopikrishn Sagar,Guna,421.0,434.0,78.11,5
Harsi,Gwalior,252.06,264.93,192.66,
Indira Sagar,Khandwa,254.13,262.13,9282.0,20
KakaSahab Gadagil Sagar,Mandsaure,456.3,460.8,20.24,9
Kaketo,Gwalior,320.19,342.74,41.21,
Kaliasote,Bhopal,486.16,505.67,34.41,13
Kerwa,Bhopal,500.79,509.93,22.56,8
Kolar,Sehore,432.93,462.2,265.0,8
Kotwal Feeder,Morena,164.65,168.4,57.45,15
Kundalia Major Project,Rajgarh,380.0,400.0,582.75,11
Kunwar Chain Sagar (Dudhi),Rajgarh,446.28,450.78,22.37,9
Kushalpura,Rajgarh,415.6,418.9,14.84,7
Kutni,Chhatarpur,191.45,203.5,131.07,7
Madikheda,Shivpuri,320.05,346.25,834.83,10
Mahan,Sidhi,307.0,325.0,149.76,6
Mahi Main,Jhabua,441.0,451.5,135.6,8
Mahi Subsidiary,Dhar,467.17,474.3,39.48,4
Mahuar,Shivpuri,317.0,331.0,65.03,6
Matiyari,Mandla,484.0,497.43,51.12,6
Mohanpura Multipurpose Project,Rajgarh,377.05,398.0,616.27,
Mohini Pick Up Weir,Shivpuri,263.95,276.25,99.72,25
Omkareshwar,Khandwa,193.54,196.6,299.0,23
Pagara,Morena,182.88,199.33,120.485,
Pagra Feeder,Sagar,433.04,445.02,94.04,11
Parasdoh Tank,Betul,623.85,639.1,69.82,6
Pawai Medium Irrigation Project,Panna,330.0,340.5,122.25,9
Pehsari,Gwalior,324.61,334.36,49.38,
Pench Diversion,Chhindwara,613.4,625.75,421.26,8
Rajghat,Ashoknagar,356.62,371.0,1973.0,
Rangawan,Chhatarpur,219.76,233.17,155.08,
Retam Barrage,Mandsaure,424.0,428.5,11.66,24
Sagad,Vidisha,448.05,455.64,75.72,12
Samrat Ashok Sagar (Halali),Vidisha,448.95,459.61,252.13,5
Sanjay Sagar (Bah) Project,Vidisha,440.5,448.2,76.52,12
Singhpur,Chhatarpur,201.98,209.2,45.69,12
Sukta Tank,Khandwa,399.59,410.57,78.06,6
Tawa,Narmadapuram,336.8,355.4,1944.18,13
Thanwar,Mandla,470.0,481.1,123.53,9
Tigra,Gwalior,211.83,225.55,124.23,7
Tillar,Shajapur,432.0,439.9,52.24,
Upper Kaketo,Sheopur,363.0,370.0,52.24,11
Urmil,Chhatarpur,228.29,237.43,113.92,7
Wainganga (Sanjay Sarovar),Seoni,506.27,519.38,410.0,10
